gem_id,gem_name,gem_slug,gem_price,query_primary,query_fallback,fk_name,fk_price,similarity,scorer,matched,cosine_ok,model_token_match,pack_match,gem_tokens,fk_tokens,gem_pack,fk_pack,decision,reason
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,LAPCARE Desktop 3 Pin Power Cable Combo Set Black,199.0,0.4147,embedding,NO,False,False,False,05 105 lmk magma type,pin power,1,bundle,REJECT,"cosine 0.415 < 0.6; no model token overlap ({'05', 'lmk', 'magma', '105', 'type'} vs {'power', 'pin'}); pack mismatch (gem=1 vs fk=bundle)"
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,"LAPCARE DCX-A101 2 Fan Ergonomic Cooling Pad with Adjus... Black 4.2 (19,016)",679.0,0.337,embedding,NO,False,False,True,05 105 lmk magma type,016 101 16 19 9 a101 adjus cooling dcx fan pad,1,1,REJECT,"cosine 0.337 < 0.6; no model token overlap ({'05', 'lmk', 'magma', '105', 'type'} vs {'19', '101', 'a101', 'dcx', 'cooling', 'adjus', '016', 'pad', 'fan', '9', '16'})"
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,"LAPCARE Battery Compatible with WU946,WU960,MT276,MT264... 3.3 (19)",1611.0,0.3006,embedding,NO,False,False,True,05 105 lmk magma type,19 264 276 9 946 960 mt264 mt276 wu946 wu960,1,1,REJECT,"cosine 0.301 < 0.6; no model token overlap ({'05', 'lmk', 'magma', '105', 'type'} vs {'19', 'mt264', '264', 'wu960', 'mt276', 'wu946', '946', '276', '960', '9'})"
11,ProDot USB Type A Wired Keyboard + Wired …,prodot-trc-207-comfy-usb,600.0,prodot trc 207 comfy usb,prodot trc 207,PRODOT PRO 207 Desktop Keyboard Replacement Key 3.8 (4),439.0,0.5955,embedding,NO,False,True,True,07 207 comfy trc type,07 207 key replacement,1,1,REJECT,cosine 0.596 < 0.6
12,fingers USB Type A Wired Keyboard + Wired …,velvet-combo-c4-pearl-grey-white,638.0,fingers velvet combo c4,fingers velvet combo,"RAJ Controller Finger Cots (Pack of 3) - Black-Yellow  ... Black, Yellow, For PS4 3.8 (5)",163.0,0.4353,embedding,NO,False,True,False,4 c4 pearl type velvet,4 controller cots finger ps4 raj yellow,bundle,3,REJECT,cosine 0.435 < 0.6; pack mismatch (gem=bundle vs fk=3)
12,fingers USB Type A Wired Keyboard + Wired …,velvet-combo-c4-pearl-grey-white,638.0,fingers velvet combo c4,fingers velvet combo,XBT pubg kitHigh quality 24-pin silver fiber finger sle... Pack of 4 3.8 (18),123.0,0.3781,embedding,NO,False,True,False,4 c4 pearl type velvet,18 24 4 8 fiber finger kithigh pin pubg quality sle xbt,bundle,4,REJECT,cosine 0.378 < 0.6; pack mismatch (gem=bundle vs fk=4)
12,fingers USB Type A Wired Keyboard + Wired …,velvet-combo-c4-pearl-grey-white,638.0,fingers velvet combo c4,fingers velvet combo,PORTLIX Thumb Sleeve for Mobile gaming Finger Sleeve Pack of 40 4 (181),135.0,0.3644,embedding,NO,False,False,False,4 c4 pearl type velvet,0 181 40 81 finger mobile portlix sleeve thumb,bundle,40,REJECT,"cosine 0.364 < 0.6; no model token overlap ({'4', 'pearl', 'c4', 'type', 'velvet'} vs {'sleeve', '0', '40', 'mobile', 'finger', '181', 'thumb', 'portlix', '81'}); pack mismatch (gem=bundle vs fk=40)"
12,fingers USB Type A Wired Keyboard + Wired …,velvet-combo-c4-pearl-grey-white,638.0,fingers velvet combo c4,fingers velvet combo,"Boltfire utkrist Finger Sleeve For Pubg and all Gaming ... Pack of 4 3.7 (4,322)",118.0,0.2994,embedding,NO,False,False,False,4 c4 pearl type velvet,22 322 all boltfire finger pubg sleeve utkrist,bundle,4,REJECT,"cosine 0.299 < 0.6; no model token overlap ({'4', 'pearl', 'c4', 'type', 'velvet'} vs {'sleeve', 'boltfire', '322', '22', 'pubg', 'finger', 'utkrist', 'all'}); pack mismatch (gem=bundle vs fk=4)"
12,fingers USB Type A Wired Keyboard + Wired …,velvet-combo-c4-pearl-grey-white,638.0,fingers velvet combo c4,fingers velvet combo,"Havick Thumb & Finger Sleeve for Pubg Mobiles Game, Ant... Pack of 4 3.6 (186)",70.0,0.1946,embedding,NO,False,False,False,4 c4 pearl type velvet,186 86 ant finger game havick mobiles pubg sleeve thumb,bundle,4,REJECT,"cosine 0.195 < 0.6; no model token overlap ({'4', 'pearl', 'c4', 'type', 'velvet'} vs {'sleeve', '186', 'havick', '86', 'pubg', 'mobiles', 'finger', 'thumb', 'ant', 'game'}); pack mismatch (gem=bundle vs fk=4)"
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-K20 Keyboard and Zeb comfort mouse Plus c... 3.8 (87),498.0,0.6324,embedding,NO,True,False,False,receiver,20 7 87 comfort k20 zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'k20', 'comfort', '20', '87', 'zeb', '7'}); pack mismatch (gem=bundle vs fk=1)"
