2026-09-21 22:59:54,139 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'Door FLINT'
2026-09-21 22:59:54,139 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'Door FLINT'
2026-09-21 23:00:05,468 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:05,468 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:09,731 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'FLINT Wall Mounted Metal Storage Cabinet'
2026-09-21 23:00:09,731 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'FLINT Wall Mounted Metal Storage Cabinet'
2026-09-21 23:00:21,244 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:21,244 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:25,030 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'metal storage cabinet'
2026-09-21 23:00:25,030 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'metal storage cabinet'
2026-09-21 23:00:36,344 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:36,344 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 23:00:40,622 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 15
2026-09-21 23:00:40,622 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 15
2026-09-21 23:07:43,993 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: hp Entry Level Desktop Computer with …
2026-09-21 23:07:43,993 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: hp Entry Level Desktop Computer with …
2026-09-21 23:07:43,994 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: it_peripherals (confidence: 0.8)
2026-09-21 23:07:43,994 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: it_peripherals (confidence: 0.8)
2026-09-21 23:07:43,995 | INFO     | gem_price.api.main | match_gem_url:149 | Built 3 search queries: ['HP 280 G9', 'HP Intel i3-12100 Windows 11 Pro', 'hp 280 g9 sff i3 12100 win11p 32113']
2026-09-21 23:07:43,995 | INFO     | gem_price.api.main | match_gem_url:149 | Built 3 search queries: ['HP 280 G9', 'HP Intel i3-12100 Windows 11 Pro', 'hp 280 g9 sff i3 12100 win11p 32113']
2026-09-21 23:07:43,995 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'HP 280 G9'
2026-09-21 23:07:43,995 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'HP 280 G9'
2026-09-21 23:08:11,373 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 24 cards, +5 new (total 5)
2026-09-21 23:08:11,373 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 24 cards, +5 new (total 5)
2026-09-21 23:08:19,079 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'HP Intel i3-12100 Windows 11 Pro'
2026-09-21 23:08:19,079 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'HP Intel i3-12100 Windows 11 Pro'
2026-09-21 23:08:48,013 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 24 cards, +5 new (total 5)
2026-09-21 23:08:48,013 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 24 cards, +5 new (total 5)
